sample,label,year,source,fertilized,mowed,treatment,block,ditch,temp1_C,temp2_C,temp3_C,avg_temp,moist_percent,mcf,pH,c_percent,n_percent,TN_mg_g,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil,p_po4_hcl_ug_gsoil,p_po4_hcl_mg_gsoil,p-po4_w_ug_gsoil,bio_NP,tot_NP,percent_om
WRC18_175,WRC18_175-M-4,2018,bulk,uf,m,M,4,0,13,12,12,12.33333333,35.5,0.65,3.86,4.74,0.24,2.4,19.75,0.1045,0.0824,141.245,0.141244987,0.1264,0.826252913,16.99175353,0.136560918
WRC18_176,WRC18_176-MF-4,2018,bulk,f,m,MF,4,0,13,13,14,13.33333333,36.8,0.63,4.02,6.36,0.33,3.3,19.2727,0.1331,0.1044,304.001,0.304001023,1.9356,0.068758925,10.85522663,0.135758618
WRC18_177,WRC18_177-C-5,2018,bulk,uf,um,C,5,1,11,12.5,13,12.16666667,25.9,0.74,3.99,2.68,0.15,1.5,17.8667,0.2328,-0.0864,115.2257,0.115225731,-0.0164,-14.21415112,13.01792566,NA
WRC18_178,WRC18_178-F-5,2018,bulk,f,um,F,5,1,13,13,14,13.33333333,33.8,0.66,3.74,4.26,0.22,2.2,19.3636,0.4551,-0.1852,336.0565,0.33605647,4.1217,0.110404857,6.546518794,NA
WRC18_179,WRC18_179-M-5,2018,bulk,uf,m,M,5,1,11,13,11.5,11.83333333,27.6,0.72,4.16,3.78,0.21,2.1,18,0.296,-0.1674,101.65,0.101649968,-0.0541,-5.474863854,20.659131,NA
WRC18_180,WRC18_180-MF-5,2018,bulk,f,m,MF,5,1,13,13.5,12,12.83333333,29,0.71,4.19,4.07,0.22,2.2,18.5,0.4278,-0.1378,222.7054,0.22270538,0.9757,0.43847583,9.878522012,NA
WRC18_181,WRC18_181-C-6,2018,bulk,uf,um,C,6,0,15,15,14,14.66666667,37.3,0.63,3.77,4.84,0.26,2.6,18.6154,0.199,0.2997,179.6155,0.179615533,0.2467,0.80688909,14.47536281,NA
WRC18_182,WRC18_182-F-6,2018,bulk,f,um,F,6,0,15,15,15,15,41.1,0.59,3.76,4.6,0.25,2.5,18.4,0.2015,0.1725,362.4695,0.362469548,5.0278,0.040073662,6.897131128,NA
WRC18_183,WRC18_183-M-6,2018,bulk,uf,m,M,6,0,15,15,15,15,34.1,0.66,4.11,4.62,0.24,2.4,19.25,0.0812,0.1791,115.1382,0.11513822,0.0929,0.873476853,20.84451185,0.109098202
WRC18_184,WRC18_184-MF-6,2018,bulk,f,m,MF,6,0,14,13,14,13.66666667,38.1,0.62,4.21,4.93,0.26,2.6,18.9615,0.21,-0.0984,322.4858,0.322485815,2.8123,0.074660675,8.062370125,0.153484595
WRC18_185,WRC18_185-C-7,2018,bulk,uf,um,C,7,1,13.5,13,14.5,13.66666667,28.1,0.72,3.79,3.7,0.21,2.1,17.619,0.0874,-0.2718,122.0862,0.122086216,0.103,0.848238149,17.20095897,NA
WRC18_186,WRC18_186-F-7,2018,bulk,f,um,F,7,1,14.5,12.5,12,13,33.3,0.67,3.73,5.42,0.29,2.9,18.6897,0.1238,-0.2308,404.9803,0.404980332,7.832,0.015804097,7.160841571,NA
WRC18_187,WRC18_187-M-7,2018,bulk,uf,m,M,7,1,14,14,14,14,27.6,0.72,3.91,3.05,0.18,1.8,16.9444,0.1996,-0.1755,115.9696,0.115969583,0.0846,2.359128678,15.52131135,NA
WRC18_188,WRC18_188-MF-7,2018,bulk,f,m,MF,7,1,13,14,15,14,35.3,0.65,4.26,4.89,0.29,2.9,16.8621,0.2103,-0.2463,265.8086,0.265808637,1.4903,0.141146712,10.91010447,NA
WRC18_189,WRC18_189-C-8,2018,bulk,uf,um,C,8,0,14,13,14,13.66666667,32.9,0.67,4,3.22,0.19,1.9,16.9474,0.1681,-0.052,117.3559,0.117355882,0.0444,3.789114068,16.19007051,NA
WRC18_190,WRC18_190-F-8,2018,bulk,f,um,F,8,0,15,14,13,14,39.3,0.61,4.04,4.22,0.23,2.3,18.3478,0.3116,0.168,333.5731,0.333573107,2.7438,0.113567955,6.895040253,NA
WRC18_191,WRC18_191-M-8,2018,bulk,uf,m,M,8,0,12,13,13,12.66666667,34.3,0.66,4.01,3.67,0.2,2,18.35,0.2207,0.2677,121.2642,0.121264222,0.1132,1.949944913,16.4929108,0.104746272
WRC18_192,WRC18_192-MF-8,2018,bulk,f,m,MF,8,0,13,13,12,12.66666667,36.2,0.64,4.24,4.26,0.24,2.4,17.75,0.3074,0.6914,276.8784,0.276878388,1.6227,0.189436614,8.668065496,0.113058675
WRC18_193,WRC18_193-M-AV-2,2018,grass,uf,m,M,2,0,NA,NA,NA,,NA,NA,NA,8.07,0.42,4.2,19.2143,0.172,-0.3257,516.8233,0.516823314,45.5143,0.003779321,8.126568372,0.20877946
WRC18_194,WRC18_194-MF-AV-2,2018,grass,f,m,MF,2,0,NA,NA,NA,,NA,NA,NA,3.84,0.19,1.9,20.2105,0.1143,-0.3428,128.8062,0.128806164,1.7277,0.066164905,14.75084686,0.108641929
WRC18_195,WRC18_195-M-AV-4,2018,grass,uf,m,M,4,0,NA,NA,NA,,NA,NA,NA,5.19,0.26,2.6,19.9615,0.1797,-0.5318,147.4708,0.147470806,0.2455,0.731847529,17.63060824,0.167244283
WRC18_196,WRC18_196-MF-AV-4,2018,grass,f,m,MF,4,0,NA,NA,NA,,NA,NA,NA,8.39,0.46,4.6,18.2391,0.1587,0.211,746.9384,0.746938418,41.8795,0.003789419,6.158472894,0.218279957
WRC18_197,WRC18_197-M-AV-6,2018,grass,uf,m,M,6,0,NA,NA,NA,,NA,NA,NA,6.27,0.32,3.2,19.5938,0.1126,-0.034,153.0279,0.153027876,0.298,0.377679083,20.91122274,0.174215336
WRC18_198,WRC18_198-MF-AV-6,2018,grass,f,m,MF,6,0,NA,NA,NA,,NA,NA,NA,4.64,0.26,2.6,17.8462,0.1433,-0.0551,374.9315,0.374931504,7.3729,0.019441341,6.934599984,0.152613858
WRC18_199,WRC18_199-M-AV-8,2018,grass,uf,m,M,8,0,NA,NA,NA,,NA,NA,NA,4.08,0.21,2.1,19.4286,0.3044,-0.2813,132.2453,0.132245284,0.9699,0.313812561,15.87958327,0.142573555
WRC18_200,WRC18_200-MF-AV-8,2018,grass,f,m,MF,8,0,NA,NA,NA,,NA,NA,NA,4.99,0.28,2.8,17.8214,0.1698,0.533,409.5514,0.409551386,7.2103,0.023553311,6.836748937,0.161347935
WRC18_201,WRC18_201-M-EC-2,2018,forb,uf,m,M,2,0,NA,NA,NA,,NA,NA,NA,4.51,0.25,2.5,18.04,0.2812,2.0068,483.269,0.483269036,43.7769,0.00642345,5.173101964,0.17127694
WRC18_202,WRC18_202-MF-EC-2,2018,forb,f,m,MF,2,0,NA,NA,NA,,NA,NA,NA,5.76,0.29,2.9,19.8621,0.1545,0.1665,183.4592,0.183459174,2.6971,0.057266637,15.80733157,0.139978791
WRC18_203,WRC18_203-M-EC-4,2018,forb,uf,m,M,4,0,NA,NA,NA,,NA,NA,NA,6,0.31,3.1,19.3548,0.4111,0.252,247.0963,0.247096268,0.7792,0.527589118,12.54571762,NA
WRC18_204,WRC18_204-MF-EC-4,2018,forb,f,m,MF,4,0,NA,NA,NA,,NA,NA,NA,5.18,0.3,3,17.2667,0.2185,0.0814,381.1531,0.38115312,21.2372,0.010286542,7.870852523,NA
WRC18_205,WRC18_205-M-EC-6,2018,forb,uf,m,M,6,0,NA,NA,NA,,NA,NA,NA,4.9,0.26,2.6,18.8462,0.1647,-0.3678,282.5162,0.282516215,0.805,0.204545936,9.203011578,NA
WRC18_206,WRC18_206-MF-EC-6,2018,forb,f,m,MF,6,0,NA,NA,NA,,NA,NA,NA,7.01,0.41,4.1,17.0976,0.1624,-0.4812,493.0416,0.493041562,26.1942,0.006198728,8.315728965,0.233642578
WRC18_207,WRC18_207-M-EC-8,2018,forb,uf,m,M,8,0,NA,NA,NA,,NA,NA,NA,5.85,0.33,3.3,17.7273,0.1109,0.6077,194.0922,0.194092197,0.5486,0.202071472,17.00222907,0.171273247
WRC18_208,WRC18_208-MF-EC-8,2018,forb,f,m,MF,8,0,NA,NA,NA,,NA,NA,NA,4.46,0.26,2.6,17.1538,0.1572,-0.2859,355.949,0.355948951,5.6928,0.027621994,7.304418208,0.135648552
